Element,Z,A,N,E2_1,E4_1,E6_1,R4_2,R6_2
Ba,56,124,68,229.91,651.66,1228.39,2.834413466138924,5.342916793527903
Ba,56,126,70,256.02,711.1,1332.47,2.777517381454574,5.204554331692837
Ba,56,128,72,284.0,763.32,1406.88,2.6877464788732395,4.953802816901409
Ba,56,130,74,357.38,901.85,1592.84,2.523504393082993,4.456992556942191
Ba,56,132,76,464.508,1127.615,1931.91,2.4275469959613183,4.159045699966416
Ba,56,134,78,604.7223,1400.59,,2.316087896874317,
Ba,56,136,80,818.522,1866.611,2207.147,2.280465277659,2.6965029651005104
Ba,56,138,82,1435.805,1898.588,2090.536,1.322316052667319,1.456002730175755
Ba,56,140,84,602.37,1130.6,1660.3,1.8769195013031856,2.7562793631820974
Ba,56,142,86,359.596,834.81,1465.98,2.321521930166075,4.076741676770598
Ba,56,144,88,199.326,530.19,961.53,2.6599139098762836,4.82390656512447
Ba,56,146,90,181.04,513.66,958.37,2.8372735307114447,5.293692001767566
