Element,Z,A,N,E2_1,E4_1,E6_1,R4_2,R6_2
Ce,58,124,66,141.9,447.8,891.9,3.1557434813248766,6.285412262156448
Ce,58,126,68,169.59,519.04,1014.95,3.0605578159089566,5.984727873105726
Ce,58,128,70,207.09,606.77,1157.1,2.9299821333719636,5.587425756917281
Ce,58,130,72,253.85,710.37,1324.1,2.7983848729564706,5.216072483750246
Ce,58,132,74,325.34,858.82,1542.58,2.639761480297535,4.741439724595808
Ce,58,134,76,409.2,1048.68,1863.1,2.5627565982404694,4.553030303030303
Ce,58,136,78,552.05,1313.74,2213.7,2.379748211212753,4.009962865682456
Ce,58,138,80,788.744,1826.51,2293.97,2.3157196758390555,2.908383455214873
Ce,58,140,82,1596.233,2083.259,2107.854,1.3051095923965987,1.320517743963444
Ce,58,142,84,641.282,1219.37,1743.05,1.9014567694087778,2.7180709890500587
Ce,58,144,86,397.441,938.65,,2.3617341945093737,
Ce,58,146,88,258.45,668.38,1171.35,2.5861094989359645,4.532211259431224
Ce,58,148,90,158.467,453.45,839.52,2.861479046110546,5.297759154902913
Ce,58,150,92,97.0,305.7,606.4,3.1515463917525772,6.251546391752577
