Element,Z,A,N,E2_1,E4_1,E6_1,R4_2,R6_2
Nd,60,126,66,,,,,
Nd,60,128,68,133.66,424.47,847.93,3.1757444261559185,6.343932365704025
Nd,60,130,70,159.05,485.5,,3.052499214083621,
Nd,60,132,72,213.16,610.85,1132.81,2.865687746293864,5.314364796397072
Nd,60,134,74,294.17,788.92,1420.06,2.681850630587755,4.82734473263759
Nd,60,136,76,373.75,976.46,1746.8,2.6126020066889635,4.67371237458194
Nd,60,138,78,520.75,1249.7,2133.8,2.399807969275084,4.097551608257321
Nd,60,140,80,773.65,1801.84,2366.55,2.329011827053577,3.058941381761779
Nd,60,142,82,1575.78,2100.787,2209.303,1.3331727779258524,1.4020377210016626
Nd,60,144,84,696.561,1314.669,1791.46,1.8873709553075755,2.571863770725033
Nd,60,146,86,453.84,1043.21,1780.01,2.298629472942006,3.92210911334391
Nd,60,148,88,301.705,752.29,1279.81,2.4934621567425133,4.241925059246615
Nd,60,150,90,130.21,381.1,720.16,2.9268105368251285,5.530758006297519
Nd,60,152,92,72.4,236.54,484.03,3.267127071823204,6.68549723756906
Nd,60,154,94,70.8,233.2,481.9,3.2937853107344632,6.806497175141243
